,ticker,exchange,assetType,priceCurrency,startDate,endDate
429,000901,SHE,Stock,CNY,2018-01-01,2020-06-19
430,000902,SHE,Stock,CNY,2018-01-01,2020-06-19
431,000903,SHE,Stock,CNY,2018-01-01,2020-06-19
432,000905,SHE,Stock,CNY,2000-01-03,2020-06-19
433,000906,SHE,Stock,CNY,2000-01-03,2020-06-12
434,000908,SHE,Stock,CNY,2000-01-03,2020-06-19
435,000909,SHE,Stock,CNY,2018-01-02,2020-06-19
436,000910,SHE,Stock,CNY,2018-01-01,2020-06-19
437,000911,SHE,Stock,CNY,2000-01-03,2020-06-19
438,000912,SHE,Stock,CNY,2007-08-30,2020-06-19
439,000913,SHE,Stock,CNY,2018-01-01,2020-06-19
440,000915,SHE,Stock,CNY,2000-01-03,2020-06-19
441,000916,SHE,Stock,CNY,2007-08-30,2017-12-04
442,000917,SHE,Stock,CNY,2000-01-04,2020-06-19
443,000918,SHE,Stock,CNY,2018-01-02,2020-06-19
444,000919,SHE,Stock,CNY,2018-01-01,2020-06-19
445,000920,SHE,Stock,CNY,2018-01-01,2020-06-19
446,000921,SHE,Stock,CNY,2018-01-01,2020-06-19
447,000922,SHE,Stock,CNY,2018-01-01,2020-06-19
448,000923,SHE,Stock,CNY,2018-01-01,2020-06-19
449,000925,SHE,Stock,CNY,2018-01-02,2020-06-19
450,000926,SHE,Stock,CNY,2000-01-03,2020-06-19
451,000927,SHE,Stock,CNY,2018-01-02,2020-06-15
452,000928,SHE,Stock,CNY,2018-01-01,2020-06-19
453,000929,SHE,Stock,CNY,2018-01-02,2020-06-19
454,000930,SHE,Stock,CNY,2017-10-23,2020-06-19
455,000931,SHE,Stock,CNY,2000-01-03,2020-06-19
456,000932,SHE,Stock,CNY,2018-01-01,2020-06-19
457,000933,SHE,Stock,CNY,2018-01-01,2020-06-19
458,000935,SHE,Stock,CNY,2018-01-01,2020-06-19
459,000936,SHE,Stock,CNY,2018-01-01,2020-06-19
460,000937,SHE,Stock,CNY,2000-01-03,2020-06-19
